"PROVMUN","whichMax","Max","pcMax"
"21015","OTH",235,30.7994757536042
"21016","OTH",516,47.4264705882353
"21017","PSOE",1307,36.4066852367688
"21018","PSOE",532,29.0551611141453
"21019","PSOE",282,45.8536585365854
"21020","PSOE",204,52.1739130434783
"21021","ABS",3771,30.5121773606279
"21022","PSOE",92,50.5494505494505
"21023","PSOE",809,38.2325141776938
"21024","OTH",226,45.2
"21025","PP",1496,36.7838701745759
"21026","PSOE",83,32.046332046332
"21027","PSOE",46,63.8888888888889
"21028","PSOE",192,44.9648711943794
"21029","PSOE",509,31.1124694376528
"21030","PSOE",834,47.8760045924225
"21031","OTH",407,30.3731343283582
"21032","OTH",480,27.027027027027
"21033","OTH",207,38.9097744360902
"21034","PSOE",497,39.538583929992
"21035","PP",3643,37.1962425975087
"21036","OTH",79,36.5740740740741
"21037","PSOE",225,44.7316103379722
"21038","OTH",421,36.6086956521739
"21039","PSOE",168,53.5031847133758
"21040","PSOE",993,31.8575553416747
"21041","ABS",51361,45.025466595366
"21042","ABS",4883,31.6995585562192
"21043","PSOE",906,47.1629359708485
"21044","PP",7193,39.5937689216712
"21045","PSOE",74,27.9245283018868
"21046","PSOE",636,34.1201716738197
"21047","PSOE",639,32.3216995447648
"21048","PSOE",200,60.6060606060606
"21049","ABS",1176,33.7931034482759
"21050","PSOE",4103,31.1707057661627
"21051","PSOE",151,54.7101449275362
"21052","ABS",1737,36.4074617480612
"21053","PSOE",1119,34.1158536585366
"21054","PP",3369,41.9081975370071
"21055","PP",2682,41.4336474586745
"21056","ABS",845,27.841845140033
"21057","PSOE",438,41.2041392285983
"21058","PSOE",1305,49.7332317073171
"21059","PSOE",145,73.6040609137056
"21060","PSOE",4192,35.9581403328187
"21061","PSOE",1646,31.1506434519304
"21062","PSOE",553,36.9652406417112
"21063","PSOE",1605,58.7266739846323
"21064","ABS",2136,33.8563956252972
"21065","PSOE",156,42.6229508196721
"21066","PSOE",315,58.659217877095
"21067","PSOE",221,52.9976019184652
"21068","PSOE",454,44.3359375
"21069","PP",867,49.4580718767827
"21070","ABS",1959,31.3942307692308
"21071","PSOE",94,42.3423423423423
"21072","PP",4375,42.7162663542277
"21073","PSOE",647,33.1965110312981
"21074","PSOE",708,25.8866544789762
"21075","PP",177,46.7018469656992
"21076","PSOE",739,34.9905303030303
"21077","PSOE",758,44.4574780058651
"21078","OTH",1034,36.0153256704981
"21079","OTH",241,32.1762349799733
"23001","PP",473,44.9619771863118
"23002","PSOE",5792,32.6475395975424
"23003","PSOE",3700,41.770151275683
"23004","PP",241,50.2083333333333
"23005","PP",10054,32.8058211244167
"23006","PSOE",1702,36.6968520914187
"23007","OTH",1545,49.6624879459981
"23008","PP",535,34.4716494845361
"23009","PP",4543,35.4312899703634
"23010","ABS",5267,36.5281919689299
"23011","PSOE",659,29.5118674429019
"23012","PSOE",1845,43.3709449929478
"23014","PP",1088,42.8346456692913
"23015","PSOE",768,52.3160762942779
"23016","PSOE",274,61.0244988864143
"23017","PSOE",745,44.6642685851319
"23018","OTH",899,37.4427321949188
"23019","PSOE",624,40.5721716514954
"23020","OTH",778,48.1733746130031
"23021","PSOE",273,50.1838235294118
"23024","PP",4707,37.2772630078403
"23025","PP",1069,37.5219375219375
"23026","PP",1513,38.8247369771619
"23027","PSOE",445,58.1699346405229
"23028","PSOE",2417,37.443841982959
"23029","PSOE",555,59.2948717948718
"23030","PSOE",797,62.7065302911094
"23031","PSOE",465,59.8455598455598
"23032","PSOE",353,58.5406301824212
"23033","PP",627,45.0431034482759
"23034","PSOE",1129,43.2898773006135
"23035","PSOE",595,55.1948051948052
"23037","PSOE",266,51.6504854368932
"23038","PP",1257,38.6056511056511
"23039","PSOE",879,39.5767672219721
"23040","PSOE",534,34.9476439790576
"23041","PSOE",207,39.0566037735849
"23042","PP",169,46.9444444444444
"23043","PSOE",253,45.6678700361011
"23044","OTH",1300,26.5577119509704
"23045","PSOE",653,29.8037425832953
"23046","PSOE",1237,50.5930470347648
"23047","PSOE",859,51.7781796262809
"23048","PP",345,38.6338185890258
